,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds
0,,,,,,,,,,,500000.0,0,set_tempo,,,,,0,0.0
1,,,,,Seven Nation Army,,,,,,,0,track_name,,,,,0,0.0
2,,7.0,,4.0,,161.0,,4.0,,,,0,time_signature,,,,,0,0.0
3,,,,,,,,,,,,0,end_of_track,,,,,0,0.0
4,,,,,Guitar 1 (Jack White) Open A Tuning,,,,,,,0,track_name,,,,,0,0.0
5,0.0,,100.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
6,0.0,,101.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
7,0.0,,6.0,,,,,,,,,0,control_change,12.0,,,,0,0.0
8,0.0,,,,,,,,0.0,,,0,pitchwheel,,,,,0,0.0
9,1.0,,100.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
10,1.0,,101.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
11,1.0,,6.0,,,,,,,,,0,control_change,12.0,,,,0,0.0
12,1.0,,,,,,,,0.0,,,0,pitchwheel,,,,,0,0.0
13,0.0,,,,,,,,,29.0,,0,program_change,,,,,0,0.0
14,1.0,,,,,,,,,29.0,,0,program_change,,,,,0,0.0
15,0.0,,7.0,,,,,,,,,0,control_change,104.0,,,,0,0.0
16,1.0,,7.0,,,,,,,,,0,control_change,104.0,,,,0,0.0
17,0.0,,10.0,,,,,,,,,0,control_change,64.0,,,,0,0.0
18,1.0,,10.0,,,,,,,,,0,control_change,64.0,,,,0,0.0
19,0.0,,93.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
20,1.0,,93.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
21,0.0,,91.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
22,1.0,,91.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
23,0.0,,92.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
24,1.0,,92.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
25,0.0,,95.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
26,1.0,,95.0,,,,,,,,,0,control_change,0.0,,,,0,0.0
27,0.0,,,,,,50.0,,,,,46080,note_on,,95.0,50.0,95.0,46080,48.0
28,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,46080,48.0
29,0.0,,,,,,50.0,,,,,240,note_off,,80.0,50.0,80.0,46320,48.25
30,0.0,,,,,,43.0,,,,,0,note_off,,80.0,43.0,80.0,46320,48.25
31,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,46320,48.25
32,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,46320,48.25
33,0.0,,,,,,50.0,,,,,240,note_off,,80.0,50.0,80.0,46560,48.5
34,0.0,,,,,,43.0,,,,,0,note_off,,80.0,43.0,80.0,46560,48.5
35,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,46560,48.5
36,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,46560,48.5
37,0.0,,,,,,50.0,,,,,240,note_off,,80.0,50.0,80.0,46800,48.75
38,0.0,,,,,,43.0,,,,,0,note_off,,80.0,43.0,80.0,46800,48.75
39,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,46800,48.75
40,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,46800,48.75
41,0.0,,,,,,50.0,,,,,240,note_off,,80.0,50.0,80.0,47040,49.0
42,0.0,,,,,,43.0,,,,,0,note_off,,80.0,43.0,80.0,47040,49.0
43,0.0,,,,,,50.0,,,,,0,note_on,,95.0,50.0,95.0,47040,49.0
44,0.0,,,,,,43.0,,,,,0,note_on,,95.0,43.0,95.0,47040,49.0
45,0.0,,,,,,50.0,,,,,240,note_off,,80.0,50.0,80.0,47280,49.25
46,0.0,,,,,,43.0,,,,,0,note_off,,80.0,43.0,80.0,47280,49.25
